timeseries,Battery_Storage,Rooftop_PV-0
202001,0,4.80792
202001,0,6.02194
202001,0,4.87254
202002,0,7.75176
202002,0,4.98919
202002,0,2.36694
202003,0,7.25333
202003,0,4.41674
202003,0,9.55494
202004,0,5.22268
202004,0,7.21149
202004,0,6.16481
202005,0,9.88067
202005,0,8.15043
202005,0,6.7784
202006,0,8.42017
202006,0,8.66958
202006,0,9.0894
202007,0,7.96805
202007,0,10.2264
202007,0,9.05494
202008,0,9.60615
202008,0,8.51359
202008,0,9.50749
202009,0,8.51334
202009,0,7.4669
202009,0,6.59958
202010,0,5.9138
202010,0,4.6831
202010,0,7.21629
202011,0,5.20377
202011,0,6.6311
202011,0,3.75389
202012,0,6.04746
202012,0,5.94463
202012,0,5.42904
202101,0,6.02194
202102,0,2.36694
202103,0,4.41674
202104,0,7.21149
202105,0,6.7784
202106,0,8.66958
202107,0,7.96805
202108,0,8.51359
202109,0,6.59958
202110,0,4.6831
202111,0,3.75389
202112,0,5.94463
202201,0,6.02194
202202,0,2.36694
202203,0,4.41674
202204,0,7.21149
202205,0,6.7784
202206,0,8.66958
202207,0,7.96805
202208,0,8.51359
202209,0,6.59958
202210,0,4.6831
202211,0,3.75389
202212,0,5.94463
202301,0,6.02194
202302,0,2.36694
202303,0,4.41674
202304,0,7.21149
202305,0,6.7784
202306,0,8.66958
202307,0,7.96805
202308,0,8.51359
202309,0,6.59958
202310,0,4.6831
202311,0,3.75389
202312,0,5.94463
202401,0,6.02194
202402,0,2.36694
202403,0,4.41674
202404,0,7.21149
202405,0,6.7784
202406,0,8.66958
202407,0,7.96805
202408,0,8.51359
202409,0,6.59958
202410,0,4.6831
202411,0,3.75389
202412,0,5.94463
202501,0,4.80792
202501,0,6.02194
202501,0,4.87254
202502,0,7.75176
202502,0,4.98919
202502,0,2.36694
202503,0,7.25333
202503,0,4.41674
202503,0,9.55494
202504,0,5.22268
202504,0,7.21149
202504,0,6.16481
202505,0,9.88067
202505,0,8.15043
202505,0,6.7784
202506,0,8.42017
202506,0,8.66958
202506,0,9.0894
202507,0,7.96805
202507,0,10.2264
202507,0,9.05494
202508,0,9.60615
202508,0,8.51359
202508,0,9.50749
202509,0,8.51334
202509,0,7.4669
202509,0,6.59958
202510,0,5.9138
202510,0,4.6831
202510,0,7.21629
202511,0,5.20377
202511,0,6.6311
202511,0,3.75389
202512,0,6.04746
202512,0,5.94463
202512,0,5.42904
202601,0,6.02194
202602,0,2.36694
202603,0,4.41674
202604,0,7.21149
202605,0,6.7784
202606,0,8.66958
202607,0,7.96805
202608,0,8.51359
202609,0,6.59958
202610,0,4.6831
202611,0,3.75389
202612,0,5.94463
202701,0,6.02194
202702,0,2.36694
202703,0,4.41674
202704,0,7.21149
