YearMonth,year,time,TotalEbill,EnergyCharge,NonEnergyCharge,AmortizedCost,DemandCharges,EmissionsCosts,PPACost,FuelCost,CogenPPACost,TotalCredit
202001,2020,2020-01-01,1969954.2156862745,1121650.9803921569,547429.9019607843,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202002,2020,2020-02-01,1876781.6666666665,1023143.1372549019,552765.1960784313,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202003,2020,2020-03-01,1511008.6274509802,689688.725490196,520446.56862745096,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202004,2020,2020-04-01,1488915.4901960783,584159.8039215687,603882.3529411765,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202005,2020,2020-05-01,1561902.7450980393,655056.8627450981,605972.5490196078,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202006,2020,2020-06-01,1628186.0784313723,725069.1176470588,602243.6274509804,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202007,2020,2020-07-01,1635988.039215686,747719.6078431372,587395.0980392157,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202008,2020,2020-08-01,1652953.725490196,758348.5294117647,593731.8627450981,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202009,2020,2020-09-01,1728107.6470588234,809618.6274509804,617615.6862745098,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202010,2020,2020-10-01,1760168.9215686272,833293.6274509804,626001.9607843137,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202011,2020,2020-11-01,1720204.7058823528,825569.1176470588,593762.2549019607,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202012,2020,2020-12-01,1719930.196078431,827892.1568627451,591164.7058823529,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202101,2021,2021-01-01,1789560.3767781623,827071.3187235679,661615.7247212611,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202102,2021,2021-02-01,1700911.7800845827,780459.4386774318,619579.0080738178,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202103,2021,2021-03-01,1515026.5436370627,677883.506343714,536269.7039600154,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202104,2021,2021-04-01,1801474.063821607,828296.8089196463,672303.9215686275,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202105,2021,2021-05-01,1800508.0891964629,833837.9469434833,665796.8089196463,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202106,2021,2021-06-01,1778809.7039600152,831002.4990388312,646933.8715878509,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202107,2021,2021-07-01,1798484.8289119569,840787.1972318339,656824.2983467897,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202108,2021,2021-08-01,1673143.6139946172,769059.9769319493,603210.3037293348,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202109,2021,2021-09-01,1740521.5455594002,810226.8358323722,629421.3763936948,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202110,2021,2021-10-01,1771029.042675894,829133.0257593234,641022.6835832372,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202111,2021,2021-11-01,1740358.1468665896,819242.5990003844,620242.214532872,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202112,2021,2021-12-01,1636859.4925028833,761322.5682429834,574663.5909265667,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202201,2022,2022-01-01,1740148.1974504523,734983.1512766582,704291.7128404609,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202202,2022,2022-02-01,1624831.5017602579,664412.6316424301,659545.5367844945,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202203,2022,2022-03-01,1456612.8302085923,584875.9149949867,570863.5818802722,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202204,2022,2022-04-01,1745660.7831075527,729117.1947441029,715670.2550301165,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202205,2022,2022-05-01,1740916.1901531082,731298.6709485792,708744.1858711957,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202206,2022,2022-06-01,1714027.0223368083,724485.6804698041,688668.0085336709,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202207,2022,2022-07-01,1756139.4074677157,756072.325123821,699193.7490105615,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202208,2022,2022-08-01,1642702.6448349424,699707.3146828896,642121.9968187197,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202209,2022,2022-09-01,1699081.7901108922,728184.2956329013,670024.1611446576,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202210,2022,2022-10-01,1728943.984892688,745697.356220458,682373.2953388967,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202211,2022,2022-11-01,1671726.1727389914,710595.8492585807,660256.9901470776,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202212,2022,2022-12-01,1572947.2340200976,660337.0875455141,611736.8131412503,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202301,2023,2023-01-01,1893319.551856626,823885.3509304454,768560.8675928476,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202302,2023,2023-02-01,1789631.7604665405,769022.7903058608,719735.6368273463,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202303,2023,2023-03-01,1596677.4047866426,672845.8622293706,622958.2092239388,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202304,2023,2023-04-01,1904765.996685095,822915.3132331176,780977.350118644,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202305,2023,2023-05-01,1902576.4830254118,828282.8551583316,773420.294533747,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202306,2023,2023-06-01,1878002.1946931067,825617.5611042451,751511.3002555283,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202307,2023,2023-07-01,1907204.9486098047,843332.2971483035,762999.318128168,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
202308,2023,2023-08-01,1774101.9188550347,772510.306789111,700718.2787325905,0.0,300873.3333333333,0.0,0.0,0.0,0.0,0.0
