timeseries,GenVariableOMCostsInTP,FuelCostsPerTP,PurchasedPowerCost,NonEnergyCharge
202001,0,0,67519.3,28686.5
202001,0,0,92192,39169
202001,0,0,85701,36411.2
202002,0,0,68023.5,29333.9
202002,0,0,91061.5,39268.6
202002,0,0,85059.8,36680.5
202003,0,0,92785.8,39457.9
202003,0,0,74656.8,31748.4
202003,0,0,65656.6,27921
202004,0,0,79144.4,34209.1
202004,0,0,92083.3,39801.8
202004,0,0,94874,41008
202005,0,0,95790.1,41034.7
202005,0,0,81623.1,34965.8
202005,0,0,92012.9,39416.6
202006,0,0,93585.7,39417.1
202006,0,0,90933.7,38300.1
202006,0,0,87822.7,36989.8
202007,0,0,93462.9,38885.5
202007,0,0,76461.1,31811.9
202007,0,0,98981.3,41181.5
202008,0,0,81401.6,33837.8
202008,0,0,85909,35711.4
202008,0,0,104733,43536.5
202009,0,0,84536.8,35246.3
202009,0,0,108231,45125.3
202009,0,0,89374.4,37263.3
202010,0,0,88080.1,36717
202010,0,0,91037.6,37949.9
202010,0,0,106907,44565.3
202011,0,0,102528,42955.8
202011,0,0,79757.7,33415.8
202011,0,0,87643.9,36719.9
202012,0,0,105916,44464.8
202012,0,0,81040.1,34021.5
202012,0,0,81252.1,34110.5
202101,0,0,283140,127282
202102,0,0,258536,119196
202103,0,0,228480,103169
202104,0,0,283127,129339
202105,0,0,282917,128087
202106,0,0,279811,124459
202107,0,0,290185,126361
202108,0,0,267835,116047
202109,0,0,277670,121089
202110,0,0,282911,123321
202111,0,0,269488,119324
202112,0,0,249321,110555
202201,0,0,234364,137669
202202,0,0,203076,128922
202203,0,0,185716,111587
202204,0,0,234274,139893
202205,0,0,234571,138539
202206,0,0,233579,134614
202207,0,0,252353,136672
202208,0,0,236930,125516
202209,0,0,242027,130970
202210,0,0,246919,133384
202211,0,0,224551,129060
202212,0,0,208234,119576
202301,0,0,319999,152535
202302,0,0,291504,142844
202303,0,0,258621,123637
202304,0,0,320890,154999
202305,0,0,320621,153499
202306,0,0,317248,149151
202307,0,0,330195,151431
202308,0,0,305295,139070
202309,0,0,315967,145114
202310,0,0,321826,147787
202311,0,0,305204,142997
202312,0,0,282258,132489
202401,0,0,334548,162107
202402,0,0,303465,151808
202403,0,0,270052,131396
202404,0,0,335814,164726
202405,0,0,335500,163132
202406,0,0,332019,158511
202407,0,0,346879,160934
202408,0,0,321299,147797
202409,0,0,332035,154220
202410,0,0,338219,157061
202411,0,0,319277,151971
202412,0,0,295338,140803
202501,0,0,85002.9,42706.6
202501,0,0,116065,58312.3
202501,0,0,107893,54206.7
202502,0,0,83836.2,43670.4
202502,0,0,112230,58460.5
202502,0,0,104833,54607.5
202503,0,0,116304,58742.4
202503,0,0,93580.1,47265
202503,0,0,82298.6,41567
202504,0,0,100225,50928.4
202504,0,0,116610,59254.3
202504,0,0,120144,61050.1
202505,0,0,121278,61089.8
202505,0,0,103341,52054.8
202505,0,0,116495,58680.9
202506,0,0,118678,58681.6
202506,0,0,115315,57018.7
