LOAD_ZONE,TIMEPOINT,zone_demand_mw
Manoa,1,10.33776
Manoa,2,10.03176
Manoa,3,9.72864
Manoa,4,9.65088
Manoa,5,9.64368
Manoa,6,9.6192
Manoa,7,9.63432
Manoa,8,9.55368
Manoa,9,9.5652
Manoa,10,9.5328
Manoa,11,9.5472
Manoa,12,9.51048
Manoa,13,9.42048
Manoa,14,9.49176
Manoa,15,9.4824
Manoa,16,9.4968
Manoa,17,9.49536
Manoa,18,9.56232
Manoa,19,9.60192
Manoa,20,9.53784
Manoa,21,9.57744
Manoa,22,9.92808
Manoa,23,10.20816
Manoa,24,10.638
Manoa,25,10.83672
Manoa,26,10.33848
Manoa,27,9.7092
Manoa,28,9.54648
Manoa,29,9.42552
Manoa,30,9.41112
Manoa,31,9.2628
Manoa,32,8.6976
Manoa,33,8.817839999999997
Manoa,34,9.08928
Manoa,35,9.08712
Manoa,36,9.12096
Manoa,37,9.1224
Manoa,38,8.573039999999999
Manoa,39,8.49312
Manoa,40,9.1116
Manoa,41,9.19728
Manoa,42,9.35784
Manoa,43,9.53208
Manoa,44,9.42768
Manoa,45,9.39456
Manoa,46,9.64224
Manoa,47,9.7632
Manoa,48,9.91008
Manoa,49,9.87552
Manoa,50,9.84888
Manoa,51,9.85824
Manoa,52,9.94392
Manoa,53,9.96624
Manoa,54,10.03536
Manoa,55,10.11888
Manoa,56,10.17576
Manoa,57,9.91008
Manoa,58,10.21896
Manoa,59,10.61136
Manoa,60,10.74528
Manoa,61,10.95192
Manoa,62,11.1636
Manoa,63,11.14488
Manoa,64,11.12256
Manoa,65,11.33568
Manoa,66,11.22912
Manoa,67,11.25288
Manoa,68,11.13768
Manoa,69,11.14128
Manoa,70,11.01096
Manoa,71,10.99512
Manoa,72,11.02464
Manoa,73,11.09952
Manoa,74,11.40336
Manoa,75,11.5956
Manoa,76,11.85984
Manoa,77,11.89872
Manoa,78,11.82384
Manoa,79,11.7684
Manoa,80,11.72232
Manoa,81,11.63736
Manoa,82,11.67408
Manoa,83,11.49552
Manoa,84,11.56896
Manoa,85,11.51712
Manoa,86,11.47176
Manoa,87,11.25216
Manoa,88,11.20104
Manoa,89,11.18448
Manoa,90,11.20176
Manoa,91,11.04984
Manoa,92,11.01744
Manoa,93,10.89936
Manoa,94,10.95264
Manoa,95,10.89792
Manoa,96,10.84248
Manoa,97,11.04264
Manoa,98,10.74384
Manoa,99,10.46592
Manoa,100,10.38816
Manoa,101,10.31688
Manoa,102,10.2492
Manoa,103,10.21536
Manoa,104,10.15992
Manoa,105,10.09872
Manoa,106,10.1016
Manoa,107,10.11672
Manoa,108,10.10088
Manoa,109,10.08576
Manoa,110,10.12464
Manoa,111,10.0764
Manoa,112,10.02816
Manoa,113,10.05192
Manoa,114,10.08504
Manoa,115,10.08
Manoa,116,10.10376
Manoa,117,10.13832
Manoa,118,10.56096
Manoa,119,11.142
Manoa,120,11.67768
Manoa,121,12.0528
Manoa,122,12.79368
Manoa,123,13.45464
Manoa,124,13.65264
Manoa,125,13.687920000000002
Manoa,126,13.9356
Manoa,127,13.99536
Manoa,128,14.25024
Manoa,129,14.41152
Manoa,130,14.82984
Manoa,131,15.142320000000002
Manoa,132,15.54264
Manoa,133,15.81768
Manoa,134,16.02216
Manoa,135,16.23816
Manoa,136,16.57872
Manoa,137,16.6788
Manoa,138,16.78968
Manoa,139,16.89408
Manoa,140,17.111520000000002
Manoa,141,17.10864
Manoa,142,17.241120000000002
Manoa,143,17.31024
Manoa,144,17.24832
