year,TotalCredit,PV_Gen
2025,115.07400477783166,27218.0
2026,123.55337739357894,27218.0
2027,130.62690040434546,27218.0
2028,135.07665827601423,27218.0
2029,139.40678562258242,27218.0
2030,143.35203302680148,27218.0
2031,150.2440858191333,27218.0
2032,156.71049032931438,27218.0
2033,159.63615550056664,27218.0
2034,165.34578703572504,27218.0
2035,170.66118806057153,27218.0
2036,175.59270577198347,27218.0
2037,180.15035125651607,27218.0
2038,184.34392668338455,27218.0
2039,188.18294024414215,27218.0
