timeseries,GenVariableOMCostsInTP,FuelCostsPerTP,PurchasedPowerCost,NonEnergyCharge
202001,0,0,62953.4,28686.5
202001,0.0050292,0,85979,39178.7
202001,0,0,79905.7,36411.2
202002,0,0,58153.8,29333.9
202002,0.00493863,0,77867.9,39278.1
202002,0,0,72718.3,36680.5
202003,0.00496901,0,56018.2,39467.5
202003,0,0,45062.2,31748.4
202003,0,0,39629.7,27921
202004,0,0,35443.3,34209.1
202004,0,0,41237.8,39801.8
202004,0.00511949,0,42497.7,41017.9
202005,0.00492268,0,47521.6,41044.2
202005,0,0,40483.9,34965.8
202005,0,0,45637.1,39416.6
202006,0.00521919,0,50841.1,39427.1
202006,0,0,49387.8,38300.1
202006,0,0,47698.1,36989.8
202007,0,0,53016.2,38885.5
202007,0,0,43372.1,31811.9
202007,0.00534921,0,56160.5,41191.8
202008,0,0,46290.6,33837.8
202008,0,0,48853.8,35711.4
202008,0.00560646,0,59573.4,43547.3
202009,0,0,49486.7,35246.3
202009,0.00495662,0,63370.4,45134.8
202009,0,0,52318.5,37263.3
202010,0,0,52348.2,36717
202010,0,0,54106,37949.9
202010,0.00492268,0,63551.2,44574.7
202011,0.00492268,0,63984,42965.3
202011,0,0,49762.9,33415.8
202011,0,0,54683.3,36719.9
202012,0.00492268,0,66709.3,44474.2
202012,0,0,51030.7,34021.5
202012,0,0,51164.2,34110.5
202101,0.0115341,0,172129,127306
202102,0.00513329,0,162412,119206
202103,0.0129781,0,141091,103196
202104,0.0147681,0,172393,129369
202105,0.0115923,0,173538,128111
202106,0.0147548,0,172958,124489
202107,0.0101912,0,174981,126382
202108,0.00742437,0,160047,116062
202109,0.0148139,0,168635,121120
202110,0.0111134,0,172558,123344
202111,0.00880462,0,170494,119342
202112,0.0072036,0,158437,110570
202201,0.0115341,0,156023,137695
202202,0.00513329,0,141028,128934
202203,0.0129781,0,124168,111617
202204,0.0147681,0,154786,139926
202205,0.0115923,0,155242,138565
202206,0.0148534,0,153805,134648
202207,0.0112633,0,160500,136698
202208,0.0079148,0,148529,125534
202209,0.0148139,0,154590,131004
202210,0.0178457,0,158316,133424
202211,0.00918596,0,150842,129081
202212,0.00730215,0,140170,119593
202301,0.0113886,0,178393,152564
202302,0.0045802,0,166496,142856
202303,0.0129781,0,145700,123670
202304,0.0147681,0,178192,155036
202305,0.0107923,0,179343,153526
202306,0.0147548,0,178780,149188
202307,0.0101912,0,182600,151457
202308,0.00742437,0,167261,139089
202309,0.0148139,0,175207,145151
202310,0.0111134,0,178905,147815
202311,0.0085781,0,174937,143019
202312,0.0067656,0,161974,132506
202401,0.00969248,0,183099,162133
202402,0.00347536,0,170086,151817
202403,0.0129781,0,149050,131430
202404,0.0147681,0,182573,164765
202405,0.0102329,0,183492,163159
202406,0.0125009,0,182697,158544
202407,0.006074,0,187258,160950
202408,0.00738175,0,171901,147817
202409,0.00983488,0,179875,154246
202410,0.0107084,0,183784,157090
202411,0.0085781,0,179005,151993
202412,0.0067656,0,165830,140821
202501,0,0,45697.7,42706.6
202501,0.00703871,0,62418,58332.4
202501,0,0,58003.2,54206.7
202502,0,0,46158,43670.4
202502,0.00677975,0,61811.2,58479.9
202502,0,0,57718.2,54607.5
202503,0.00677975,0,62999.8,58761.8
202503,0,0,50673.8,47265
202503,0,0,44564.8,41567
202504,0,0,53464,50928.4
202504,0,0,62204.6,59254.3
202504,0.00710512,0,64111.1,61070.4
202505,0.00677975,0,65076.5,61109.2
202505,0,0,55434.3,52054.8
202505,0,0,62490.5,58680.9
202506,0.00696061,0,64026.4,58701.5
202506,0,0,62190.9,57018.7
202506,0,0,60063.2,55067.9
202507,0,0,63960.1,57890.2
202507,0,0,52325.1,47359.5
202507,0.00736129,0,67759.8,61329.4
202508,0,0,55711.7,50375.5
202508,0,0,58796.6,53164.9
202508,0.00783495,0,71705,64836.8
202509,0,0,58096,52472.4
202509,0.0071232,0,74401.9,67200
202509,0,0,61420.5,55475.1
202510,0,0,60707,54661.8
202510,0,0,62745.5,56497.3
202510,0.00681317,0,73704.9,66365.4
202511,0.00677975,0,71198.6,63969.3
202511,0,0,55369.3,49747.3
202511,0,0,60844.1,54666.1
202512,0.00699337,0,73707.9,66216.3
202512,0,0,56379.4,50649
202512,0,0,56526.9,50781.5
202601,0.0115341,0,190742,186377
202602,0.00513329,0,175651,174518
202603,0.0175929,0,154553,151093
202604,0.0209866,0,190125,189416
202605,0.0115923,0,190944,187555
202606,0.0148534,0,190007,182253
202607,0.0112633,0,196035,185027
202608,0.0079148,0,180510,169917
202609,0.019302,0,188386,177334
202610,0.0202307,0,192516,180603
202611,0.00918596,0,185905,174718
202612,0.00730215,0,172344,161875
202701,0.0113886,0,194019,197986
202702,0.00513329,0,177834,185390
202703,0.0175929,0,156750,160505
202704,0.0209866,0,193065,201215
202705,0.0115923,0,193657,199238
202706,0.0147548,0,192528,193606
