PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,TotalGenFixedCosts,annual,16183.205739614488,3502.0709999999867
2020,StorageEnergyInstallCosts,annual,214140.4273056536,46340.322953380404
2020,EmissionsCosts,annual,0.0,0.0
2020,DemandCharges,annual,17752788.5427752,3841731.1702709696
2025,TotalGenFixedCosts,annual,17213.00824460766,4112.614730769195
2025,StorageEnergyInstallCosts,annual,193953.58264087388,46340.322953380404
2025,EmissionsCosts,annual,0.0,0.0
2025,DemandCharges,annual,20785576.319059037,4966189.880497439
2030,TotalGenFixedCosts,annual,6818587.017561201,1798690.728517445
2030,StorageEnergyInstallCosts,annual,175669.7354747322,46340.322953380404
2030,EmissionsCosts,annual,568629.1903429442,150000.0000000081
2030,DemandCharges,annual,15957572.302268606,4209484.644811853
2035,TotalGenFixedCosts,annual,8530875.11779601,2484600.407088253
2035,StorageEnergyInstallCosts,annual,159109.49177413632,46340.322953380404
2035,EmissionsCosts,annual,515024.9770622143,149999.99999999936
2035,DemandCharges,annual,15714483.5675965,4576812.077319353
2020,GenVariableOMCostsInTP,timepoint,2.640990702847658,0.571514513287816
2020,FuelCostsPerTP,timepoint,0.0,0.0
2020,PurchasedPowerCost,timepoint,45946654.37008554,9942927.773736153
2020,NonEnergyCharge,timepoint,36678622.387289815,7937311.176119168
2025,GenVariableOMCostsInTP,timepoint,2.762690094186226,0.6600752068691862
2025,FuelCostsPerTP,timepoint,0.0,0.0
2025,PurchasedPowerCost,timepoint,46456118.727430396,11099519.357555954
2025,NonEnergyCharge,timepoint,47315276.51846524,11304793.469858313
2030,GenVariableOMCostsInTP,timepoint,1.120659199435474,0.2956212638572926
2030,FuelCostsPerTP,timepoint,21176535.364494618,5586206.896551699
2030,PurchasedPowerCost,timepoint,31319079.948112033,8261732.025019231
2030,NonEnergyCharge,timepoint,42730740.53554664,11272040.178708836
2035,GenVariableOMCostsInTP,timepoint,0.12715909268248807,0.037034832778739264
2035,FuelCostsPerTP,timepoint,19180240.525075573,5586206.896551703
2035,PurchasedPowerCost,timepoint,28135421.990431294,8194385.683269237
2035,NonEnergyCharge,timepoint,50321315.057944,14655982.903485002
