GENERATION_PROJECT,build_year,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost
Rooftop_PV-0,2012,0,0,.
Rooftop_PV-2020,2020,6000000,45000,.
Rooftop_PV-2020,2025,4000000,45000,.
Rooftop_PV-2020,2030,3000000,45000,.
Rooftop_PV-2020,2035,2000000,45000,.
Rooftop_PV-2020_PPA,2020,0,0,.
Battery_Storage,2020,0,10000,526000
Battery_Storage,2025,0,10000,401000
Battery_Storage,2030,0,10000,335000
Battery_Storage,2035,0,10000,294000
Cogen_Power_Plant,2025,0,0,.
Cogen_Power_Plant,2030,0,0,.
Cogen_Power_Plant,2035,0,0,.
