TIMESERIES,ts_period,ts_duration_of_tp,ts_num_tps,ts_scale_to_period,ts_month
20200105,2020,0.25,96,10.13889,202001
20200109,2020,0.25,96,10.13889,202001
20200116,2020,0.25,96,10.13889,202001
20200203,2020,0.25,96,10.13889,202002
20200207,2020,0.25,96,10.13889,202002
20200212,2020,0.25,96,10.13889,202002
20200321,2020,0.25,96,10.13889,202003
20200327,2020,0.25,96,10.13889,202003
20200331,2020,0.25,96,10.13889,202003
20200401,2020,0.25,96,10.13889,202004
20200411,2020,0.25,96,10.13889,202004
20200422,2020,0.25,96,10.13889,202004
20200501,2020,0.25,96,10.13889,202005
20200521,2020,0.25,96,10.13889,202005
20200531,2020,0.25,96,10.13889,202005
20200612,2020,0.25,96,10.13889,202006
20200614,2020,0.25,96,10.13889,202006
20200628,2020,0.25,96,10.13889,202006
20200711,2020,0.25,96,10.13889,202007
20200714,2020,0.25,96,10.13889,202007
20200730,2020,0.25,96,10.13889,202007
20200818,2020,0.25,96,10.13889,202008
20200824,2020,0.25,96,10.13889,202008
20200829,2020,0.25,96,10.13889,202008
20200901,2020,0.25,96,10.13889,202009
20200911,2020,0.25,96,10.13889,202009
20200929,2020,0.25,96,10.13889,202009
20201019,2020,0.25,96,10.13889,202010
20201027,2020,0.25,96,10.13889,202010
20201031,2020,0.25,96,10.13889,202010
20201106,2020,0.25,96,10.13889,202011
20201124,2020,0.25,96,10.13889,202011
20201129,2020,0.25,96,10.13889,202011
20201209,2020,0.25,96,10.13889,202012
20201222,2020,0.25,96,10.13889,202012
20201230,2020,0.25,96,10.13889,202012
20210109,2020,0.25,96,30.41667,202101
20210212,2020,0.25,96,30.41667,202102
20210327,2020,0.25,96,30.41667,202103
20210411,2020,0.25,96,30.41667,202104
20210531,2020,0.25,96,30.41667,202105
20210614,2020,0.25,96,30.41667,202106
20210711,2020,0.25,96,30.41667,202107
20210824,2020,0.25,96,30.41667,202108
20210929,2020,0.25,96,30.41667,202109
20211027,2020,0.25,96,30.41667,202110
20211129,2020,0.25,96,30.41667,202111
20211222,2020,0.25,96,30.41667,202112
20220109,2020,0.25,96,30.41667,202201
20220212,2020,0.25,96,30.41667,202202
20220327,2020,0.25,96,30.41667,202203
20220411,2020,0.25,96,30.41667,202204
20220531,2020,0.25,96,30.41667,202205
20220614,2020,0.25,96,30.41667,202206
20220711,2020,0.25,96,30.41667,202207
