date,year,month,day,weight
21919,2020,1,5,.520781
21923,2020,1,9,.520781
21930,2020,1,16,.520781
21948,2020,2,3,.5352487
21952,2020,2,7,.5352491
21957,2020,2,12,.5352491
21995,2020,3,21,.5302677
22001,2020,3,27,.5302683
22005,2020,3,31,.5302682
22006,2020,4,1,.5174736
22016,2020,4,11,.5174732
22027,2020,4,22,.5174733
22036,2020,5,1,.5252147
22056,2020,5,21,.525215
22066,2020,5,31,.5252147
22078,2020,6,12,.5351157
22080,2020,6,14,.5351152
22094,2020,6,28,.5351149
22107,2020,7,11,.539483
22110,2020,7,14,.5394835
22126,2020,7,30,.5394838
22145,2020,8,18,.5395217
22151,2020,8,24,.5395216
22156,2020,8,29,.5395218
22159,2020,9,1,.5348136
22169,2020,9,11,.5348141
22187,2020,9,29,.5348139
22207,2020,10,19,.5255642
22215,2020,10,27,.5255648
22219,2020,10,31,.525565
22225,2020,11,6,.5163077
22243,2020,11,24,.5163075
22248,2020,11,29,.5163077
22258,2020,12,9,.5099485
22271,2020,12,22,.5099485
22279,2020,12,30,.509949
22289,2021,1,9,.1715159
22323,2021,2,12,.1753885
22366,2021,3,27,.1779131
22381,2021,4,11,.1814809
22431,2021,5,31,.1806933
22445,2021,6,14,.1845404
22472,2021,7,11,.1850053
22516,2021,8,24,.1849215
22552,2021,9,29,.1817234
22580,2021,10,27,.1769518
22613,2021,11,29,.1717263
22636,2021,12,22,.1687891
22654,2022,1,9,.1509982
22688,2022,2,12,.1506987
22731,2022,3,27,.155315
22746,2022,4,11,.1622887
22796,2022,5,31,.1611069
22810,2022,6,14,.1658138
22837,2022,7,11,.1697244
22881,2022,8,24,.1712222
22917,2022,9,29,.1656825
22945,2022,10,27,.1601777
22978,2022,11,29,.1497275
23001,2022,12,22,.1468114
23019,2023,1,9,.1556939
23053,2023,2,12,.1570862
23096,2023,3,27,.1628995
23111,2023,4,11,.1693415
23161,2023,5,31,.1691625
23175,2023,6,14,.1747047
23202,2023,7,11,.17678
23246,2023,8,24,.1775793
23282,2023,9,29,.1713009
23310,2023,10,27,.1650093
23343,2023,11,29,.1552767
23366,2023,12,22,.1517059
23384,2024,1,9,.157894
23418,2024,2,12,.1606498
23462,2024,3,27,.1674912
23477,2024,4,11,.1755951
23527,2024,5,31,.1754131
23541,2024,6,14,.1828753
23568,2024,7,11,.1844408
23612,2024,8,24,.1850511
23648,2024,9,29,.1772481
23676,2024,10,27,.1692641
23709,2024,11,29,.1579483
23732,2024,12,22,.1534795
23746,2025,1,5,.4813691
23750,2025,1,9,.4813686
23757,2025,1,16,.4813685
23775,2025,2,3,.494173
23779,2025,2,7,.494173
23784,2025,2,12,.4941733
23821,2025,3,21,.5184287
23827,2025,3,27,.5184277
23831,2025,3,31,.5184287
23832,2025,4,1,.5489234
23842,2025,4,11,.5489229
23853,2025,4,22,.5489231
23862,2025,5,1,.5483641
23882,2025,5,21,.5483646
23892,2025,5,31,.5483638
23904,2025,6,12,.5780255
23906,2025,6,14,.5780247
23920,2025,6,28,.5780255
23933,2025,7,11,.5806092
23936,2025,7,14,.5806103
23952,2025,7,30,.5806096
23971,2025,8,18,.5816745
23977,2025,8,24,.5816743
23982,2025,8,29,.5816747
23985,2025,9,1,.5525734
23995,2025,9,11,.5525729
24013,2025,9,29,.5525731
24033,2025,10,19,.5224758
24041,2025,10,27,.5224761
24045,2025,10,31,.5224764
24051,2025,11,6,.4830095
24069,2025,11,24,.4830101
24074,2025,11,29,.48301
24084,2025,12,9,.4665578
24097,2025,12,22,.4665575
24105,2025,12,30,.4665579
24115,2026,1,9,.1646509
24149,2026,2,12,.1702185
24192,2026,3,27,.1798345
24207,2026,4,11,.1911771
24257,2026,5,31,.191754
24271,2026,6,14,.2017784
24298,2026,7,11,.2034477
24342,2026,8,24,.2045792
24378,2026,9,29,.1935378
24406,2026,10,27,.1815201
24439,2026,11,29,.1658476
24462,2026,12,22,.1588152
24480,2027,1,9,.1694835
24514,2027,2,12,.1765779
24557,2027,3,27,.188058
24572,2027,4,11,.2008116
24622,2027,5,31,.2024005
24636,2027,6,14,.2124728
24663,2027,7,11,.2151374
24707,2027,8,24,.2172723
24743,2027,9,29,.2045718
24771,2027,10,27,.1900821
24804,2027,11,29,.1714128
24827,2027,12,22,.162574
24845,2028,1,9,.1749939
24879,2028,2,12,.1838483
24923,2028,3,27,.1975525
24938,2028,4,11,.2118589
24988,2028,5,31,.2147954
25002,2028,6,14,.2247129
25029,2028,7,11,.22856
25073,2028,8,24,.2319527
25109,2028,9,29,.2172972
25137,2028,10,27,.1998047
25170,2028,11,29,.1776774
25193,2028,12,22,.1667669
25211,2029,1,9,.1812684
25245,2029,2,12,.1921961
25288,2029,3,27,.2085732
25303,2029,4,11,.2247671
25353,2029,5,31,.2296412
25367,2029,6,14,.2393712
25394,2029,7,11,.2448674
25438,2029,8,24,.2501332
25474,2029,9,29,.2329508
25502,2029,10,27,.2114864
25535,2029,11,29,.1849235
25558,2029,12,22,.1714401
25572,2030,1,5,.5652303
25576,2030,1,9,.5652305
25583,2030,1,16,.5652304
25601,2030,2,3,.6056359
25605,2030,2,7,.6056366
25610,2030,2,12,.6056362
25647,2030,3,21,.6650678
25653,2030,3,27,.6650664
25657,2030,3,31,.6650675
25658,2030,4,1,.7207798
25668,2030,4,11,.720781
25679,2030,4,22,.7207805
25688,2030,5,1,.7436113
25708,2030,5,21,.7436124
25718,2030,5,31,.7436118
25730,2030,6,12,.7717974
25732,2030,6,14,.7717965
25746,2030,6,28,.7717975
25759,2030,7,11,.7949517
25762,2030,7,14,.7949507
25778,2030,7,30,.7949514
25797,2030,8,18,.8187978
25803,2030,8,24,.8187971
25808,2030,8,29,.8187966
25811,2030,9,1,.7570426
25821,2030,9,11,.7570419
25839,2030,9,29,.7570419
25859,2030,10,19,.6766133
25867,2030,10,27,.6766126
25871,2030,10,31,.6766136
25877,2030,11,6,.5799796
25895,2030,11,24,.5799796
25900,2030,11,29,.5799801
25910,2030,12,9,.5300791
25923,2030,12,22,.5300791
25931,2030,12,30,.5300795
25941,2031,1,9,.1872789
25975,2031,2,12,.2003686
26018,2031,3,27,.2212849
26033,2031,4,11,.2399401
26083,2031,5,31,.2478982
26097,2031,6,14,.25723
26124,2031,7,11,.2659181
26168,2031,8,24,.274284
26204,2031,9,29,.2530848
26232,2031,10,27,.2255833
26265,2031,11,29,.19214
26288,2031,12,22,.1751928
26306,2032,1,9,.1860466
26340,2032,2,12,.1987259
26384,2032,3,27,.2207792
26399,2032,4,11,.2395115
26449,2032,5,31,.2478238
26463,2032,6,14,.25709
26490,2032,7,11,.266793
26534,2032,8,24,.275593
26570,2032,9,29,.2537639
26598,2032,10,27,.2255585
26631,2032,11,29,.1908573
26654,2032,12,22,.1736019
26672,2033,1,9,.1847106
26706,2033,2,12,.1969443
26749,2033,3,27,.220165
26764,2033,4,11,.2389618
26814,2033,5,31,.2476449
26828,2033,6,14,.256838
26855,2033,7,11,.2676079
26899,2033,8,24,.2768554
26935,2033,9,29,.2543774
26963,2033,10,27,.2254554
26996,2033,11,29,.1894725
27019,2033,12,22,.1719196
27037,2034,1,9,.1832646
27071,2034,2,12,.1950176
27114,2034,3,27,.2194376
27129,2034,4,11,.2382901
27179,2034,5,31,.2473488
27193,2034,6,14,.2564691
27220,2034,7,11,.2683525
27264,2034,8,24,.2780708
27300,2034,9,29,.2549229
27328,2034,10,27,.2252721
27361,2034,11,29,.1879819
27384,2034,12,22,.1701396
27398,2035,1,5,.5451187
27402,2035,1,9,.5451182
27409,2035,1,16,.5451187
27427,2035,2,3,.5788165
27431,2035,2,7,.5788162
27436,2035,2,12,.5788159
27473,2035,3,21,.6557581
27479,2035,3,27,.6557578
27483,2035,3,31,.6557583
27484,2035,4,1,.7124516
27494,2035,4,11,.712451
27505,2035,4,22,.7124517
27514,2035,5,1,.7407973
27534,2035,5,21,.7407972
27544,2035,5,31,.7407977
27556,2035,6,12,.7679298
27558,2035,6,14,.7679312
27572,2035,6,28,.767931
27585,2035,7,11,.8070783
27588,2035,7,14,.8070787
27604,2035,7,30,.8070773
27623,2035,8,18,.8376849
27629,2035,8,24,.8376845
27634,2035,8,29,.8376834
27637,2035,9,1,.7661843
27647,2035,9,11,.7661837
27665,2035,9,29,.766184
27685,2035,10,19,.6750044
27693,2035,10,27,.6750045
27697,2035,10,31,.6750046
27703,2035,11,6,.5591472
27721,2035,11,24,.559147
27726,2035,11,29,.5591469
27736,2035,12,9,.5047845
27749,2035,12,22,.5047846
27757,2035,12,30,.5047854
27767,2036,1,9,.1815197
27801,2036,2,12,.1924357
27845,2036,3,27,.2192426
27860,2036,4,11,.2384792
27910,2036,5,31,.247928
27924,2036,6,14,.2570173
27951,2036,7,11,.2711792
27995,2036,8,24,.2823073
28031,2036,9,29,.2578993
28059,2036,10,27,.226886
28092,2036,11,29,.1863735
28115,2036,12,22,.1673735
28133,2037,1,9,.1812332
28167,2037,2,12,.1917912
28210,2037,3,27,.2198122
28225,2037,4,11,.2393964
28275,2037,5,31,.2488424
28289,2037,6,14,.257976
28316,2037,7,11,.2733225
28360,2037,8,24,.2854364
28396,2037,9,29,.2604327
28424,2037,10,27,.2287738
28457,2037,11,29,.186276
28480,2037,12,22,.1663796
28498,2038,1,9,.1808403
28532,2038,2,12,.1909943
28575,2038,3,27,.2202859
28590,2038,4,11,.2402275
28640,2038,5,31,.2496662
28654,2038,6,14,.258847
28681,2038,7,11,.2754493
28725,2038,8,24,.2886176
28761,2038,9,29,.2629911
28789,2038,10,27,.2306654
28822,2038,11,29,.1860826
28845,2038,12,22,.1652748
28863,2039,1,9,.1803332
28897,2039,2,12,.1900315
28940,2039,3,27,.2206558
28955,2039,4,11,.2409619
29005,2039,5,31,.2503892
29019,2039,6,14,.2596189
29046,2039,7,11,.2775585
29090,2039,8,24,.2918492
29126,2039,9,29,.2655757
29154,2039,10,27,.2325581
29187,2039,11,29,.1857859
29210,2039,12,22,.1640538
