cap_factor,year,month,hh,mm,day
0,2015,1,0,0,1
0,2015,1,1,0,1
0,2015,1,2,0,1
0,2015,1,3,0,1
0,2015,1,4,0,1
0,2015,1,5,0,1
0,2015,1,6,0,1
0.0447081,2015,1,7,0,1
0.560591,2015,1,8,0,1
0.863227,2015,1,9,0,1
0.880473,2015,1,10,0,1
0.863431,2015,1,11,0,1
0.468874,2015,1,12,0,1
0.599242,2015,1,13,0,1
0.675737,2015,1,14,0,1
0.870586,2015,1,15,0,1
0.6511,2015,1,16,0,1
0.121806,2015,1,17,0,1
0,2015,1,18,0,1
0,2015,1,19,0,1
0,2015,1,20,0,1
0,2015,1,21,0,1
0,2015,1,22,0,1
0,2015,1,23,0,1
0,2015,1,0,0,2
0,2015,1,1,0,2
0,2015,1,2,0,2
0,2015,1,3,0,2
0,2015,1,4,0,2
0,2015,1,5,0,2
0,2015,1,6,0,2
0,2015,1,7,0,2
0.0188633,2015,1,8,0,2
0.561978,2015,1,9,0,2
0.141113,2015,1,10,0,2
0.300397,2015,1,11,0,2
0.679838,2015,1,12,0,2
0.607698,2015,1,13,0,2
0.523072,2015,1,14,0,2
0.335598,2015,1,15,0,2
0.259351,2015,1,16,0,2
0.0692778,2015,1,17,0,2
0,2015,1,18,0,2
0,2015,1,19,0,2
0,2015,1,20,0,2
0,2015,1,21,0,2
0,2015,1,22,0,2
0,2015,1,23,0,2
0,2015,1,0,0,3
0,2015,1,1,0,3
0,2015,1,2,0,3
0,2015,1,3,0,3
0,2015,1,4,0,3
0,2015,1,5,0,3
0,2015,1,6,0,3
0,2015,1,7,0,3
0.574388,2015,1,8,0,3
0.297407,2015,1,9,0,3
0.925876,2015,1,10,0,3
0.255781,2015,1,11,0,3
0.88758,2015,1,12,0,3
0.895362,2015,1,13,0,3
0.918407,2015,1,14,0,3
0.909097,2015,1,15,0,3
0.703218,2015,1,16,0,3
0.136033,2015,1,17,0,3
0,2015,1,18,0,3
0,2015,1,19,0,3
0,2015,1,20,0,3
0,2015,1,21,0,3
0,2015,1,22,0,3
0,2015,1,23,0,3
0,2015,1,0,0,4
0,2015,1,1,0,4
0,2015,1,2,0,4
0,2015,1,3,0,4
0,2015,1,4,0,4
0,2015,1,5,0,4
0,2015,1,6,0,4
0.043771,2015,1,7,0,4
0.562483,2015,1,8,0,4
0.58674,2015,1,9,0,4
0.603879,2015,1,10,0,4
0.489765,2015,1,11,0,4
0.646551,2015,1,12,0,4
0.606136,2015,1,13,0,4
0.735008,2015,1,14,0,4
0.554792,2015,1,15,0,4
0.698156,2015,1,16,0,4
0.136908,2015,1,17,0,4
0,2015,1,18,0,4
0,2015,1,19,0,4
0,2015,1,20,0,4
0,2015,1,21,0,4
0,2015,1,22,0,4
0,2015,1,23,0,4
0,2015,1,0,0,5
0,2015,1,1,0,5
0,2015,1,2,0,5
0,2015,1,3,0,5
0,2015,1,4,0,5
0,2015,1,5,0,5
0,2015,1,6,0,5
0.0434997,2015,1,7,0,5
0.563099,2015,1,8,0,5
0.880637,2015,1,9,0,5
0.895502,2015,1,10,0,5
0.869818,2015,1,11,0,5
0.849305,2015,1,12,0,5
0.859316,2015,1,13,0,5
0.880814,2015,1,14,0,5
0.874177,2015,1,15,0,5
0.691396,2015,1,16,0,5
0.146772,2015,1,17,0,5
0,2015,1,18,0,5
0,2015,1,19,0,5
0,2015,1,20,0,5
0,2015,1,21,0,5
0,2015,1,22,0,5
0,2015,1,23,0,5
0,2015,1,0,0,6
0,2015,1,1,0,6
0,2015,1,2,0,6
0,2015,1,3,0,6
0,2015,1,4,0,6
0,2015,1,5,0,6
0,2015,1,6,0,6
0.043876,2015,1,7,0,6
0.583527,2015,1,8,0,6
0.930813,2015,1,9,0,6
0.95355,2015,1,10,0,6
0.931743,2015,1,11,0,6
0.911753,2015,1,12,0,6
0.921755,2015,1,13,0,6
0.94276,2015,1,14,0,6
0.933419,2015,1,15,0,6
0.735827,2015,1,16,0,6
0.158817,2015,1,17,0,6
0,2015,1,18,0,6
0,2015,1,19,0,6
0,2015,1,20,0,6
0,2015,1,21,0,6
0,2015,1,22,0,6
0,2015,1,23,0,6
0,2015,1,0,0,7
0,2015,1,1,0,7
0,2015,1,2,0,7
0,2015,1,3,0,7
0,2015,1,4,0,7
0,2015,1,5,0,7
0,2015,1,6,0,7
0.0418782,2015,1,7,0,7
0.573496,2015,1,8,0,7
0.909606,2015,1,9,0,7
0.929253,2015,1,10,0,7
0.908204,2015,1,11,0,7
0.890855,2015,1,12,0,7
0.901855,2015,1,13,0,7
0.923118,2015,1,14,0,7
0.918372,2015,1,15,0,7
0.737416,2015,1,16,0,7
0.161523,2015,1,17,0,7
0,2015,1,18,0,7
0,2015,1,19,0,7
0,2015,1,20,0,7
0,2015,1,21,0,7
0,2015,1,22,0,7
0,2015,1,23,0,7
0,2015,1,0,0,8
0,2015,1,1,0,8
0,2015,1,2,0,8
0,2015,1,3,0,8
0,2015,1,4,0,8
0,2015,1,5,0,8
0,2015,1,6,0,8
0.0409687,2015,1,7,0,8
0.561485,2015,1,8,0,8
0.887567,2015,1,9,0,8
0.904553,2015,1,10,0,8
0.514003,2015,1,11,0,8
0.604498,2015,1,12,0,8
0.619878,2015,1,13,0,8
0.332285,2015,1,14,0,8
0.452917,2015,1,15,0,8
0.373285,2015,1,16,0,8
0.161441,2015,1,17,0,8
0,2015,1,18,0,8
0,2015,1,19,0,8
0,2015,1,20,0,8
0,2015,1,21,0,8
0,2015,1,22,0,8
0,2015,1,23,0,8
0,2015,1,0,0,9
0,2015,1,1,0,9
0,2015,1,2,0,9
0,2015,1,3,0,9
0,2015,1,4,0,9
0,2015,1,5,0,9
0,2015,1,6,0,9
0.040207,2015,1,7,0,9
0.284191,2015,1,8,0,9
0.873814,2015,1,9,0,9
0.400422,2015,1,10,0,9
0.877825,2015,1,11,0,9
0.855367,2015,1,12,0,9
0.860315,2015,1,13,0,9
0.872806,2015,1,14,0,9
0.862843,2015,1,15,0,9
0.706455,2015,1,16,0,9
0.159376,2015,1,17,0,9
0,2015,1,18,0,9
0,2015,1,19,0,9
0,2015,1,20,0,9
0,2015,1,21,0,9
0,2015,1,22,0,9
0,2015,1,23,0,9
0,2015,1,0,0,10
0,2015,1,1,0,10
0,2015,1,2,0,10
0,2015,1,3,0,10
0,2015,1,4,0,10
0,2015,1,5,0,10
0,2015,1,6,0,10
0.0380065,2015,1,7,0,10
0.545851,2015,1,8,0,10
0.864804,2015,1,9,0,10
0.883912,2015,1,10,0,10
0.142327,2015,1,11,0,10
0.855013,2015,1,12,0,10
0.85288,2015,1,13,0,10
0.869871,2015,1,14,0,10
0.864348,2015,1,15,0,10
0.114297,2015,1,16,0,10
0.17329,2015,1,17,0,10
0,2015,1,18,0,10
0,2015,1,19,0,10
0,2015,1,20,0,10
0,2015,1,21,0,10
0,2015,1,22,0,10
0,2015,1,23,0,10
0,2015,1,0,0,11
0,2015,1,1,0,11
0,2015,1,2,0,11
0,2015,1,3,0,11
0,2015,1,4,0,11
0,2015,1,5,0,11
0,2015,1,6,0,11
0.0383571,2015,1,7,0,11
0.545846,2015,1,8,0,11
0.851693,2015,1,9,0,11
0.871796,2015,1,10,0,11
0.86063,2015,1,11,0,11
0.853211,2015,1,12,0,11
0.867486,2015,1,13,0,11
0.89085,2015,1,14,0,11
0.88875,2015,1,15,0,11
0.736332,2015,1,16,0,11
0.180194,2015,1,17,0,11
0,2015,1,18,0,11
0,2015,1,19,0,11
0,2015,1,20,0,11
0,2015,1,21,0,11
0,2015,1,22,0,11
0,2015,1,23,0,11
0,2015,1,0,0,12
0,2015,1,1,0,12
0,2015,1,2,0,12
0,2015,1,3,0,12
0,2015,1,4,0,12
0,2015,1,5,0,12
0,2015,1,6,0,12
0.0400028,2015,1,7,0,12
0.546839,2015,1,8,0,12
0.876183,2015,1,9,0,12
0.894958,2015,1,10,0,12
0.877535,2015,1,11,0,12
0.86308,2015,1,12,0,12
0.872908,2015,1,13,0,12
0.566612,2015,1,14,0,12
0.893396,2015,1,15,0,12
0.740276,2015,1,16,0,12
0.185376,2015,1,17,0,12
0,2015,1,18,0,12
0,2015,1,19,0,12
0,2015,1,20,0,12
0,2015,1,21,0,12
0,2015,1,22,0,12
0,2015,1,23,0,12
0,2015,1,0,0,13
0,2015,1,1,0,13
0,2015,1,2,0,13
0,2015,1,3,0,13
0,2015,1,4,0,13
0,2015,1,5,0,13
0,2015,1,6,0,13
0.038536,2015,1,7,0,13
0.547295,2015,1,8,0,13
0.883748,2015,1,9,0,13
0.341435,2015,1,10,0,13
0.531208,2015,1,11,0,13
0.635103,2015,1,12,0,13
0.567585,2015,1,13,0,13
0.452866,2015,1,14,0,13
0.912871,2015,1,15,0,13
0.763162,2015,1,16,0,13
0.190986,2015,1,17,0,13
